appid,name,release_date,promo_price,normal_price
2208920,Assassin's Creed Valhalla,"6 Dec, 2022","14,99€",
911400,Assassin's Creed® III Remastered,"29 Mar, 2019","39,99€",
812140,Assassin's Creed® Odyssey,"5 Oct, 2018","59,99€",
582160,Assassin's Creed® Origins,"27 Oct, 2017","59,99€",
201870,Assassin's Creed® Revelations,"1 Dec, 2011","14,99€",
368500,Assassin's Creed® Syndicate,"19 Nov, 2015","39,99€",
289650,Assassin's Creed® Unity,"13 Nov, 2014","29,99€",
242050,Assassin’s Creed® IV Black Flag™,"19 Nov, 2013","39,99€",
1569130,Asset Flip,Coming soon,,
2866330,Astera,To be announced,Free,
2484250,ASTRA: Knights of Veda,"2 Apr, 2024",Free,
2622000,Astral Party,"29 Feb, 2024",Free,
266190,Astral Terra,"10 Nov, 2015","9,99€",
3193350,Astralith,To be announced,,
1801010,ASTRID,"11 Sep, 2022","3,29€",
1754960,Astride,"2 Jun, 2023","24,50€",
385530,Astro Lords,"29 Sep, 2015",Free,
2255440,Astrobit,To be announced,Free,
3498390,Astroloot,"14 Mar, 2025","6,99€",
2184440,ASU Global,"26 Jan, 2023",Free,
1450830,At Dead Of Night,"19 Nov, 2020","15,79€",
834910,ATLAS,"22 Dec, 2018","24,99€",
2463510,Atlas Brave,To be announced,,
2916620,Atlas Online,"26 Jun, 2024",Free,
2768430,ATLYSS,"23 Nov, 2024","9,75€",
2803490,Atomcraft,Q4 2025,,
3476250,Atompunks 1969,"6 Feb, 2025","0,99€",
2805850,Atre: Dominance Wars,2025,,
2305380,Attack on Hex Island,"2 Aug, 2024","12,99€",
449800,Attack on Titan / A.O.T. Wings of Freedom,"26 Aug, 2016","39,99€",
601050,Attack on Titan 2 - A.O.T.2,"27 Apr, 2023","49,99€",
3458840,Atven,Coming soon,,
1564280,Augury,"7 May, 2021","9,75€",
2582460,Aurora Nova,To be announced,,
2403940,AutoHeroes,"20 Jan, 2024","4,99€",
2709650,Autonomous GODS,Coming soon,Free,
1130700,AVABEL ONLINE（Steam版）,"8 Jan, 2020",Free,
1448230,Avalom: Ancestral Heroes,"13 Sep, 2021","14,99€",
2414420,Avalon Lost,To be announced,,
1554440,Avalon: Sacred Crusade,2026,,
2840770,Avatar: Frontiers of Pandora™,"17 Jun, 2024","23,09€",
2730600,Avelia,Coming soon,,
1755080,Away From Life,2025,,
2058000,Axima,March 2026,,
380570,Axion,"11 Dec, 2015",Free,
3474140,Azmar Quest - Text & Turn RPG,"8 Aug, 2025",,
2224750,B1700,"14 Jan, 2024","9,75€",
1683990,Babyl: Crypt of Corruption,Coming soon,,
1906190,BackRooms,Coming soon,Free,
2924300,Backrooms: Lost,"25 Jul, 2024","5,89€",
3492480,Backrooms: Worlds,2025,,
1200710,BadLads,"17 Apr, 2020","10,79€",
378480,Badland Bandits,"16 Jul, 2015",Free,
694070,BadLands RoadTrip,"5 Apr, 2018","6,99€",
2600190,Badventure,To be announced,,
3361480,Bagdex,2025,,
1866320,Baladins,"15 May, 2024","24,50€",
1086940,Baldur's Gate 3,"3 Aug, 2023","47,99€",
257350,Baldur's Gate II: Enhanced Edition,"16 Nov, 2013","19,50€",
1889930,Baldur's Gate: Dark Alliance II,"20 Jul, 2022","29,99€",
228280,Baldur's Gate: Enhanced Edition,"16 Jan, 2013","19,50€",
1682070,ball heroes,"16 Nov, 2021","8,19€",
1691370,ball.io,"8 Nov, 2021","0,79€",
2393770,Bang Average Football,"10 May, 2024","11,79€",
1924350,Bargue,"17 Jun, 2022","1,99€",
341660,Barren Roads,"2 Jun, 2015","8,99€",
1786740,Bartenders,Coming soon,,
3600350,Bashing Brutal,Coming soon,,
2676770,Basketball Grand Slam 2024,"11 Jan, 2024",Free,
1322100,Battle Bands: Rock & Roll Deckbuilder,"13 Nov, 2023","19,50€",
1792000,Battle Bees Royale,Coming soon,Free,
3462790,Battle For Embolia,Coming soon,Free,
2340620,Battle for the Void,2025,Free,
599390,Battle for Wesnoth,"2 May, 2018",Free,
305260,Battle Islands,"6 Aug, 2014",Free,
1068350,Battle Life Online,"21 May, 2022",Free,
1172400,Battle Mage : Card Caster,"11 May, 2020","3,99€",
251670,Battle Nations,"18 Sep, 2014",,
2325880,Battle Of Zodiacs - Card Game,"24 Dec, 2023",Free,
1099170,Battle Planet - Judgement Day,"17 Oct, 2019","9,75€",
830580,BattleBeasts,"10 May, 2021","3,99€",
504370,Battlerite,"8 Nov, 2017",Free,
3646700,Battles For Glory,Q4 2026,Free,
2599210,BattleSide,To be announced,Free,
637090,BATTLETECH,"24 Apr, 2018","39,99€",
1186100,Beast Brigade,"16 Oct, 2020","4,99€",
1336940,Beast Master,Coming soon,,
1441560,Beast Nature,Coming soon,,
3576380,Beast Siege,Coming soon,,
719890,Beasts of Bermuda,"21 Dec, 2018","19,99€",
3088440,Behind The Backrooms,"25 Jul, 2024","6,89€",
1812450,Bellwright,"23 Apr, 2024","28,99€",
1876230,Beneath & Beyond,To be announced,,
3126880,Beneath The Six,Coming soon,,
2000130,Berserk Reborn,Coming soon,Free,
2511740,Bespoken,Coming soon,,
2886750,Bestowment,To be announced,,
2779540,Beyond The Vale,Coming soon,,
3395370,BigPEmu,Coming soon,Free,
1163040,Billion Road,"16 Apr, 2020","16,79€",
203750,Binary Domain,"27 Apr, 2012","14,99€",
"203750,203765,203766",Binary Domain Collection,,"15,99€",
597820,BIOMUTANT,"25 May, 2021","39,99€",
8850,BioShock® 2,"16 Sep, 2016","2,99€",
409720,BioShock™ 2 Remastered,"16 Sep, 2016","2,99€",
2692270,Bird of Paradise,Coming soon,,
331440,bit Dungeon II,"15 Dec, 2014","3,99€",
666860,Bit Heroes Quest,"13 Dec, 2017",Free,
3454650,BitCraft Online,"20 Jun, 2025",,
2136480,Bite Me,"7 Oct, 2022","9,99€",
3154690,Bitmates,Coming soon,Free,
714080,BLACK CLOVER: QUARTET KNIGHTS,"14 Sep, 2018","49,99€",
582660,Black Desert,"24 May, 2017","9,99€",
2818420,Black Sails,"7 Apr, 2024","0,99€",
2378140,Blackthorn Winter,2025,,
3669060,Blade & Soul NEO,Coming soon,Free,
897890,Blade of Arena - 劍鬥界域,"31 Oct, 2020","9,99€",
3556640,Blademistress Chronicles,Coming soon,Free,
208670,Blades of Time,"21 Apr, 2012","9,75€",
"208670,208981",Blades of Time - Limited Edition,"21 Apr, 2012","11,79€",
1114080,Blazing War,Coming soon,,
1201240,BLEACH Brave Souls,"18 Aug, 2020",Free,
2094220,Bless Global,"1 Mar, 2023",Free,
1254120,Bless Unleashed,"6 Aug, 2021",Free,
1263070,Blightbound,"27 Jul, 2021","19,50€",
1209970,Blind Descent,To be announced,,
2490210,Blitz Runner,"8 Sep, 2023",Free,
270110,Block Story™,"10 Dec, 2015","4,99€",
250340,Blockland,"16 Dec, 2013","9,75€",
223490,Blockscape,"3 Jul, 2014","9,99€",
58520,Blood Bowl - Legendary Edition,"28 Oct, 2010","9,99€",
236690,Blood Bowl 2,"5 Sep, 2017","19,99€",
"236690,672830,401590,497170,547570,571761,382210,382910,571760,523980",Blood Bowl 2 - Legendary Edition,"5 Sep, 2017","29,99€",
1016950,Blood Bowl 3,"23 Feb, 2023","11,99€",
216890,Blood Bowl: Chaos Edition,"11 Oct, 2012","1,49€",
567630,Blood of Steel,"20 Oct, 2020",Free,
1979230,Blood Servants,To be announced,,
2353660,Blood Sunset,"28 Apr, 2023","9,75€",
6370,Bloodline Champions,"28 Oct, 2011",Free,
686090,Bloodlines of Prima,"20 Mar, 2020",Free,
3338020,Bloodstone Rising,Q4 2025,,
3465050,Bloop,Coming soon,,
2371460,Blue Epic,"30 May, 2023","14,79€",
3066610,Bluestone Islands,To be announced,,
2147080,BomberGuys,"3 Oct, 2022",Free,
662830,Bombix,"2 Mar, 2018",Free,
1152340,Book of Travels,"11 Oct, 2021","29,99€",
2007460,Boralaa,To be announced,,
49520,Borderlands 2,"21 Sep, 2012","29,99€",
"49520,207870,208690,213210,213230,213250,213780,218550,224200,230090",Borderlands 2 Game of the Year,"11 Oct, 2013","44,99€",
991260,Borderlands 2 VR,"22 Oct, 2019","49,99€",
397540,Borderlands 3,"13 Mar, 2020","59,99€",
729040,Borderlands Game of the Year Enhanced,"26 Oct, 2009","29,99€",
261640,Borderlands: The Pre-Sequel,"17 Oct, 2014","39,99€",
1007070,BorderStrain,"13 Mar, 2020","4,99€",
1081470,Born of Fire,"5 Sep, 2019",Free,
773540,Boss Crushers,"15 May, 2019","12,99€",
2936030,Botworld Odyssey,"24 Oct, 2024","24,17€",
973070,Bound By Blades,"15 Nov, 2022","1,09€",
324510,Boundless,"11 Sep, 2018","19,50€",
346330,BrainBread 2,"9 Mar, 2022",Free,
2215750,Brave the Dungeon,To be announced,,
2112170,Bravehood,Coming soon,,
943370,Bravery and Greed,"15 Nov, 2022","19,99€",
1027120,Bravery Network Online,"16 Feb, 2021","20,99€",
266130,Breach & Clear,"22 Mar, 2014","9,75€",
3310090,Break Shot Hero,Q3 2025,,
2796370,Brigands,"1 May, 2025","9,75€",
696370,BROKE PROTOCOL,"27 Jun, 2024",Free,
1942280,Brotato,"23 Jun, 2023","4,99€",
225260,Brutal Legend,"26 Feb, 2013","14,99€",
2691790,Bubble Chicken Farm,"20 Jun, 2024","9,79€",
3374020,Buddy Bug,To be announced,,
3348300,Bullet Hell Game Anthology,"14 Feb, 2025",Free,
12200,Bully: Scholarship Edition,"21 Oct, 2008","9,99€",
1762230,Bunnies Vs Zombies,Coming soon,Free,
1687170,Buoy,2025,,
3269080,Burntime Remastered,"17 Dec, 2024",Free,
2211190,BYTE FYTE (MULTIPLAYER),"19 Nov, 2022","0,99€",
3103930,California Escapades,"4 Sep, 2024",Free,
399810,Call of Cthulhu®,"30 Oct, 2018","3,99€",
2211500,Cambrian Dawn,"22 Nov, 2022","4,99€",
3179960,Cambrox,December 2025,,
3267090,Canis Watch,"21 Nov, 2024","3,99€",
1671600,Captain Bones: Prologue,"23 Jul, 2021",Free,
1163550,Captain Tsubasa: Rise of New Champions,"29 Sep, 2020","39,99€",
1824520,CaptMeow,"13 Dec, 2021","0,79€",
293260,Card Hunter,"13 Jul, 2015",Free,
1506850,Cards & Tankards,"25 May, 2023",Free,
2940620,Cards of Eternity: The Wheel of Time,"4 Dec, 2024",Free,
3710930,Cards of Fortune,Coming soon,Free,
2940890,Carrion Fields,"9 Jul, 2024",Free,
1400750,Cartridge Monsters: Rebirth,To be announced,,
658970,CasinoRPG,"16 Jan, 2018",Free,
304950,Castaway Paradise - live among the animals,"19 May, 2015","14,99€",
204360,Castle Crashers®,"26 Sep, 2012","11,99€",
2265920,Castle of Blackwater,"25 Mar, 2025","6,89€",
3505060,Castle of Mist,May 2025,,
1712290,Castle Siege,To be announced,,
1425410,Castlehold,"3 Mar, 2021",Free,
3347200,Cat Gladiator,Q4 2025,,
593280,Cat Quest,"8 Aug, 2017","12,99€",
2283600,Cataclysm Upon Us,Coming soon,,
3181260,Catolonizer,Q2 2025,,
2143030,Cave Crawlers,"10 Jul, 2023",Free,
2385620,Cavera - The Island of Apes,"7 Jul, 2023",Free,
2923810,Celestial Fall,Coming soon,,
3426400,Celestial Odyssey,Coming soon,,
802120,Cellyon: Boss Confrontation,"11 Oct, 2022","14,99€",
2829820,Celtic Heroes,"5 Mar, 2025",Free,
1579570,Champion Battlegrounds,Coming soon,,
2568990,Champion of Andia,"7 Feb, 2025","7,79€",
2525530,Champions Ascension,Coming soon,,
222520,Champions of Regnum,"27 Feb, 2013",Free,
9880,Champions Online,"14 Jun, 2011",Free,
319050,Chaos Reborn,"26 Oct, 2015","9,99€",
2764690,Chefs Together,"15 Apr, 2024","5,89€",
330020,Children of Morta,"3 Sep, 2019","21,99€",
2229900,Chimera CUSTOM XG,"19 Mar, 2025","19,50€",
2873440,Chrono Odyssey,To be announced,,
2303910,Chrono Rift,"13 Jul, 2023",Free,
3180830,Circuit Stance,Q4 2025,,
487120,Citadel: Forged with Fire,"1 Nov, 2019","14,79€",
2760730,Clash of Adventurers,Q4 2025,Free,
2561140,Clash of Blades,Coming soon,,
1694290,Clash of Legions,"9 Sep, 2021",Free,
1596090,ClashingBlades,Coming soon,Free,
2350230,Clayverse,To be announced,,
363970,Clicker Heroes,"14 May, 2015",Free,
215830,Closers,"6 Feb, 2018",Free,
1435100,Club Werewolf,To be announced,Free,
711380,Code of Princess EX,"2 Oct, 2020","16,79€",
678960,CODE VEIN,"27 Sep, 2019","49,99€",
1263550,Combat Arms: the Classic,"14 Jul, 2020",Free,
665360,Comedy Night,"24 Aug, 2017","4,99€",
2229850,Command & Conquer Red Alert™ 2 and Yuri’s Revenge™,"7 Mar, 2024","19,88€",
2229870,Command & Conquer™ Generals,"7 Mar, 2024","19,88€",
2732960,Command & Conquer™ Generals Zero Hour,"7 Mar, 2024","19,88€",
2067490,Competitive Checkers,"22 Aug, 2023",Free,
1061880,Conan Chop Chop,"1 Mar, 2022","14,99€",
440900,Conan Exiles,"8 May, 2018","39,99€",
333990,Conclave,"20 Jan, 2017","9,75€",
2373800,Conclave Virtual Tabletop,"4 Dec, 2023","19,50€",
2184210,Conflict RPG,Coming soon,Free,
2548280,Conquest of Eldinar,2026,,
1994170,Constantine,"14 Apr, 2023",Free,
212390,Continent of the Ninth Seal,"13 Sep, 2012",Free,
908330,Contingent®,To be announced,,
2669830,Controlled Death,"20 Jun, 2024",Free,
2455360,Cooking Simulator 2: Better Together,Coming soon,,
3038500,Cooking Simulator 2: Prologue,To be announced,Free,
1656930,Coridden,"29 Jan, 2025","19,50€",
1928790,Corleone Online,"24 Jun, 2022",Free,
1218210,Coromon,"31 Mar, 2022","2,77€",
2465310,Cosmos Kitten,Coming soon,,
275180,Costume Quest 2,"7 Oct, 2014","14,79€",
351230,Counter Spell,"5 Oct, 2015","4,99€",
1187920,Countrified,"23 May, 2021",Free,
1219610,Courage and Honor,"7 Feb, 2020","0,99€",
2172760,Couroland,"7 Nov, 2022",Free,
3104790,CoXistence,Coming soon,,
3357050,Cozy,2025,Free,
2783830,Cozy Crest,Coming soon,,
248390,Craft The World,"24 Nov, 2014","18,49€",
2284210,Crafting Combat,Coming soon,,
1307550,Craftopia,"4 Sep, 2020","24,50€",
535690,Crash Force®,"14 Jul, 2017",Free,
391730,Crashlands,"21 Jan, 2016","14,79€",
293780,Crawl,"11 Apr, 2017","14,79€",
2824010,Crawler,Coming soon,,
462860,Crawlers and Brawlers,"22 Aug, 2016","6,59€",
280520,Crea,"9 Jun, 2016","13,99€",
2009360,Cream War,Coming soon,,
280790,Creativerse,"8 May, 2017","11,49€",
3572420,CreatorRPG,To be announced,,
1990050,Creature Creator,"23 Dec, 2022","4,99€",
2681690,Creatures,2025,,
2859560,Creatures After Calamity,Coming soon,,
2293680,Crestfallen: Medieval Survival,"17 Jul, 2024","14,79€",
2930110,CrimeBloc,"6 Jun, 2025",Free,
2358120,Criminals Within,Coming soon,,
3040440,Crimson Angel,"15 Jul, 2024",Free,
586290,Crimson Crisis,Coming soon,,
2965450,Crimson Cutlass,To be announced,,
511430,CrossWorlds: Escape,"20 Mar, 2020","9,99€",
203770,Crusader Kings II,"14 Feb, 2012",Free,
