appid,name,release_date,promo_price,normal_price
3404360,BURGER RACE,"9 Jan, 2025","7,00€",
920710,Burndown,"5 Nov, 2019",Free,
1238080,Burnout™ Paradise Remastered,"4 Jun, 2020","19,99€",
2095420,Bus Bound,Coming soon,,
1959380,C&T,"7 Jun, 2022",Free,
2540530,Cabbie!,To be announced,,
1205150,Calamari Clash,"17 Jan, 2020",Free,
266370,Calibre 10 Racing,"26 Mar, 2014","1,99€",
3130960,Camelbirds,"27 Jan, 2025","5,89€",
466980,Can't Drive This,"19 Mar, 2021","19,50€",
588120,Capsa,"16 Jan, 2020",Free,
780120,Car Crash Couch Party,"1 Feb, 2018",Free,
1661270,Car Detailing Simulator: Prologue,"15 Nov, 2021",Free,
3451500,Car Guys,"21 Feb, 2025","6,89€",
270850,Car Mechanic Simulator 2014,"24 Jan, 2014","0,75€",
320300,Car Mechanic Simulator 2015,"23 Apr, 2015","1,95€",
645630,Car Mechanic Simulator 2018,"28 Jul, 2017","1,95€",
3371650,Car Mechanic Workshop,"4 Mar, 2025","4,99€",
3501070,Car Service Together,Q3 2025,,
3492580,Car Soccer Simulator,"26 Mar, 2025","0,99€",
2412180,Caracoles,Coming soon,,
1133910,Caravan Chaos,"31 Jan, 2021","4,99€",
3515160,Carcade,2025,,
3760600,CarCam,Coming soon,,
2658020,CARD RACER,Coming soon,,
2187690,CargoRun,"22 Nov, 2022",Free,
282010,Carmageddon Max Pack,"30 Jun, 1997","7,99€",
331650,Carmageddon TDR 2000,"4 Dec, 2014","3,99€",
505170,Carmageddon: Max Damage,"27 Oct, 2016","16,99€",
1795390,Carnage Cross,"17 Dec, 2021","3,99€",
1487730,Carperation,"22 Dec, 2020","11,00€",
587420,Cart Racer,"5 Jun, 2017","0,99€",
2299920,CARTOONITE,"3 Mar, 2023",Free,
635260,CarX Drift Racing Online,"17 Nov, 2017","14,79€",
1826420,CarX Drift Racing Online 2,Q4 2025,,
1114150,CarX Street,"29 Aug, 2024","7,91€",
3755770,Castle Cab,2025,,
3625620,Casual Cruise,Q3 2025,,
2075490,Catch Royale,"2 Aug, 2023",Free,
3072190,Catloaf Kart Racing,Coming soon,,
2897500,CCO Car Crash Online Simulator,"15 Apr, 2024","6,89€",
3177450,Ceiling Run,Coming soon,,
1081650,Celaria,"12 Oct, 2019","7,99€",
2762270,CelV Run,"30 Mar, 2024","4,99€",
